StudentID,FullName,Email,MajorCode,Username,Password,Birthday,ContactInfo
SS170024,Pham Duc Viet,vietpdss170024@fpt.edu.vn,SS,vietpdss170024,,12/5/2003,911111134
SE170025,Hoang Thi Bich Ngoc,ngochtbse170025@fpt.edu.vn,SE,ngochtbse170025,,1/10/2003,911111135
SS170026,Vu Dinh Nam,namvdss170026@fpt.edu.vn,SS,namvdss170026,,2/15/2003,911111136
SE170027,Do Le Phi,phidlse170027@fpt.edu.vn,SE,phidlse170027,,3/20/2003,911111137
SE170028,Ngo Van Quang,quangnvse170028@fpt.edu.vn,SE,quangnvse170028,,4/25/2003,911111138
SS170029,Phan Ngoc Sang,sangpnss170029@fpt.edu.vn,SS,sangpnss170029,,5/30/2003,911111139
SE170030,Mai Van Thai,thaimvse170030@fpt.edu.vn,SE,thaimvse170030,,6/5/2003,911111140
SS170031,Nguyen Thi Kim Thoa,thoantkss170031@fpt.edu.vn,SS,thoantkss170031,,7/10/2003,911111141
SE170032,Tran Van Tien,tienTVse170032@fpt.edu.vn,SE,tienTVse170032,,8/15/2003,911111142
SS170033,Le Anh Tuan,tuanlass170033@fpt.edu.vn,SS,tuanlass170033,,9/20/2003,911111143
SE170034,Pham Hong Vy,vyphse170034@fpt.edu.vn,SE,vyphse170034,,10/25/2003,911111144
SS170035,Hoang Van An,anhvss170035@fpt.edu.vn,SS,anhvss170035,,11/30/2003,911111145
SE170036,Vu Cong Binh,binhvcse170036@fpt.edu.vn,SE,binhvcse170036,,12/5/2003,911111146
SE170037,Do Thi Cam,camdtse170037@fpt.edu.vn,SE,camdtse170037,,1/10/2003,911111147
SS170038,Ngo Viet Dung,dungnvss170038@fpt.edu.vn,SS,dungnvss170038,,2/15/2003,911111148
SE170039,Phan Van Giang,giangpvse170039@fpt.edu.vn,SE,giangpvse170039,,3/20/2003,911111149
SS170040,Mai Thi Hien,hienmtss170040@fpt.edu.vn,SS,hienmtss170040,,4/25/2003,911111150
SE170041,Nguyen Quang Huy,huynqse170041@fpt.edu.vn,SE,huynqse170041,,5/30/2003,911111151
SS170042,Tran Xuan Khanh,khanhtxss170042@fpt.edu.vn,SS,khanhtxss170042,,6/5/2003,911111152
SE170043,Le Thi Lam,lamltse170043@fpt.edu.vn,SE,lamltse170043,,7/10/2003,911111153
SE170044,Pham Ngoc Manh,manhpnse170044@fpt.edu.vn,SE,manhpnse170044,,8/15/2003,911111154
SS170045,Hoang Thi Ngan,nganhtss170045@fpt.edu.vn,SS,nganhtss170045,,9/20/2003,911111155
SE170046,Vu Duc Oanh,oanhvdse170046@fpt.edu.vn,SE,oanhvdse170046,,10/25/2003,911111156
SS170047,Do Van Phuc,phucdvss170047@fpt.edu.vn,SS,phucdvss170047,,11/30/2003,911111157
SE170048,Ngo Thi Quynh,quynhntse170048@fpt.edu.vn,SE,quynhntse170048,,12/5/2003,911111158
SS170049,Phan Van Rinh,rinhpvss170049@fpt.edu.vn,SS,rinhpvss170049,,1/10/2003,911111159
SE170050,Mai Thanh Son,sonmtse170050@fpt.edu.vn,SE,sonmtse170050,,2/15/2003,911111160
SS170051,Nguyen Duy Tam,tamndss170051@fpt.edu.vn,SS,tamndss170051,,3/20/2003,911111161
SE170052,Tran Cong Thanh,thanhtcse170052@fpt.edu.vn,SE,thanhtcse170052,,4/25/2003,911111162
SS170053,Le Gia Thinh,thinhlgss170053@fpt.edu.vn,SS,thinhlgss170053,,5/30/2003,911111163
SE170054,Pham Quoc Toan,toanpqse170054@fpt.edu.vn,SE,toanpqse170054,,6/5/2003,911111164
SE170055,Hoang Van Tuan,tuanhvse170055@fpt.edu.vn,SE,tuanhvse170055,,7/10/2003,911111165
SS170056,Vu Thi Vinh,vinhvtss170056@fpt.edu.vn,SS,vinhvtss170056,,8/15/2003,911111166
SE170057,Do Van Xuyen,xuyendvse170057@fpt.edu.vn,SE,xuyendvse170057,,9/20/2003,911111167
SS170058,Ngo Thi Yen,yenntss170058@fpt.edu.vn,SS,yenntss170058,,10/25/2003,911111168
SE170059,Phan Le Anh,anhplse170059@fpt.edu.vn,SE,anhplse170059,,11/30/2003,911111169
SS170060,Mai Hoang Bac,bacmhss170060@fpt.edu.vn,SS,bacmhss170060,,12/5/2003,911111170
SE170061,Nguyen Van Chien,chiennvse170061@fpt.edu.vn,SE,chiennvse170061,,1/10/2003,911111171
SE170062,Tran Thi Diem,diemttse170062@fpt.edu.vn,SE,diemttse170062,,2/15/2003,911111172
SS170063,Le Van Duc,duclvss170063@fpt.edu.vn,SS,duclvss170063,,3/20/2003,911111173
SE170064,Pham Thi Hanh,hanhptse170064@fpt.edu.vn,SE,hanhptse170064,,4/25/2003,911111174
SS170065,Hoang Van Khoi,khoihvss170065@fpt.edu.vn,SS,khoihvss170065,,5/30/2003,911111175
SE170066,Vu Thi Linh,linhvtse170066@fpt.edu.vn,SE,linhvtse170066,,6/5/2003,911111176
SE170067,Do Van Long,longdvse170067@fpt.edu.vn,SE,longdvse170067,,7/10/2003,911111177
SS170068,Ngo Thi Mai,maintss170068@fpt.edu.vn,SS,maintss170068,,8/15/2003,911111178
SE170069,Phan Van Nam,nampvse170069@fpt.edu.vn,SE,nampvse170069,,9/20/2003,911111179
SS170070,Mai Thi Phuong,phuongmtss170070@fpt.edu.vn,SS,phuongmtss170070,,10/25/2003,911111180
SE170071,Nguyen Huu Quy,quynhse170071@fpt.edu.vn,SE,quynhse170071,,11/30/2003,911111181
SS170072,Tran Ngoc Sang,sangtnsse170072@fpt.edu.vn,SS,sangtnsse170072,,12/5/2003,911111182
SE170073,Le Dinh Tai,taildse170073@fpt.edu.vn,SE,taildse170073,,1/10/2003,911111183
SE170074,Pham Thanh Thuy,thuyptse170074@fpt.edu.vn,SE,thuyptse170074,,2/15/2003,911111184
SS170075,Hoang Gia Trang,tranghgss170075@fpt.edu.vn,SS,tranghgss170075,,3/20/2003,911111185
SE170076,Vu Quoc Trung,trungvqse170076@fpt.edu.vn,SE,trungvqse170076,,4/25/2003,911111186
SE170077,Do Thi Van Anh,anhdtvse170077@fpt.edu.vn,SE,anhdtvse170077,,5/30/2003,911111187
SS170078,Ngo Thanh Binh,binhntss170078@fpt.edu.vn,SS,binhntss170078,,6/5/2003,911111188
SE170079,Phan Le Chi,chiplse170079@fpt.edu.vn,SE,chiplse170079,,7/10/2003,911111189
SS170080,Mai Hoang Dat,datmhss170080@fpt.edu.vn,SS,datmhss170080,,8/15/2003,911111190
SE170081,Nguyen Van Giang,giangnvse170081@fpt.edu.vn,SE,giangnvse170081,,9/20/2003,911111191
SS170082,Tran Thi Hang,hangttss170082@fpt.edu.vn,SS,hangttss170082,,10/25/2003,911111192
SE170083,Le Van Kien,kienlvse170083@fpt.edu.vn,SE,kienlvse170083,,11/30/2003,911111193
SE170084,Pham Thi Minh,minhptse170084@fpt.edu.vn,SE,minhptse170084,,12/5/2003,911111194
SS170085,Hoang Van Ngoc,ngochvss170085@fpt.edu.vn,SS,ngochvss170085,,1/10/2003,911111195
SE170086,Vu Dinh Phuc,phucvdse170086@fpt.edu.vn,SE,phucvdse170086,,2/15/2003,911111196
SS170087,Do Le Quynh Anh,anhdlqss170087@fpt.edu.vn,SS,anhdlqss170087,,3/20/2003,911111197
SE170088,Ngo Van Son,sonnvse170088@fpt.edu.vn,SE,sonnvse170088,,4/25/2003,911111198
SS170089,Phan Ngoc Thach,thachpnss170089@fpt.edu.vn,SS,thachpnss170089,,5/30/2003,911111199
SE170090,Mai Van Tung,tungmvse170090@fpt.edu.vn,SE,tungmvse170090,,6/5/2003,911111200
SS170091,Nguyen Thi Kim Xuan,xuanntkss170091@fpt.edu.vn,SS,xuanntkss170091,,7/10/2003,911111201
SE170092,Tran Van Vu,vutvse170092@fpt.edu.vn,SE,vutvse170092,,8/15/2003,911111202
SS170093,Le Anh Yen,yenlass170093@fpt.edu.vn,SS,yenlass170093,,9/20/2003,911111203
SE170094,Pham Hong Anh,anhphse170094@fpt.edu.vn,SE,anhphse170094,,10/25/2003,911111204
SS170095,Hoang Van Bao,baohvss170095@fpt.edu.vn,SS,baohvss170095,,11/30/2003,911111205
SE170096,Vu Cong Chinh,chinhvcse170096@fpt.edu.vn,SE,chinhvcse170096,,12/5/2003,911111206
SS170097,Do Thi Dieu,dieudtss170097@fpt.edu.vn,SS,dieudtss170097,,1/10/2003,911111207
SE170098,Ngo Viet Hung,hungnvse170098@fpt.edu.vn,SE,hungnvse170098,,2/15/2003,911111208
SS170099,Phan Van Lam,lampvss170099@fpt.edu.vn,SS,lampvss170099,,3/20/2003,911111209
SE170100,Mai Thi My,mymtse170100@fpt.edu.vn,SE,mymtse170100,,4/25/2003,911111210
